ticker,analysis_date,rating,error,run_seconds,deep_model,quick_model,debate_rounds,analysts,experiment_id
MSFT,2026-01-30,Overweight,,422.17,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-01-30,Hold,,419.47,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-06,Underweight,,400.29,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-06,Underweight,,403.92,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-13,Overweight,,452.7,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-13,Hold,,457.95,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-20,Hold,,412.4,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-20,Underweight,,485.25,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-27,Hold,,391.05,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-02-27,Hold,,360.85,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-06,Hold,,387.93,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-06,Overweight,,448.14,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-13,Underweight,,401.5,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-13,Overweight,,470.3,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-20,Hold,,421.64,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-20,Overweight,,407.78,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-27,Overweight,,450.62,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-03-27,Underweight,,450.74,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-04-03,Hold,,475.08,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
MSFT,2026-04-03,Buy,,431.47,claude-sonnet-4-6,claude-haiku-4-5,1,"market,news,fundamentals",2026-05-02-006-wc12-cross-msft
